normalized_command,stub_api_symbol,implementation_status,private_provider_boundary,test_destination
cluster.metrics.snapshot,cluster.inspect_state,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.metrics.trace_route,cluster.inspect_routing_plan,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.metrics.emit_event,cluster.emit_event,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.metrics.inspect_provider,cluster.inspect_provider,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.metrics.collect_support_bundle,cluster.collect_support_bundle,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.plan_distributed,cluster.query.plan_distributed,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.admit_cross_node,cluster.query.admit_cross_node,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.route_shard_read,cluster.query.route_shard_read,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.execute_fragment,cluster.query.execute_fragment,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.fanout_search,cluster.query.fanout_search,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.merge_results,cluster.query.merge_results,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.aggregate_partial,cluster.query.aggregate_partial,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.validate_safe_read,cluster.query.validate_safe_read,public_boundary_manifested_fail_closed_no_public_execution,external_cluster_provider_required_for_execution;public_no_cluster_returns_unsupported;public_stub_returns_unlicensed,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
cluster.query.refuse_local_query_as_cluster_authority,exact_refusal_no_provider_call,exact_pre_provider_refusal_no_provider_call,no_provider_call_allowed_before_admission,project/tests/release/public_cluster_provider_handshake_gate.cpp;project/tests/sbsql_parser_worker/sbsql_cluster_provider_conformance.cpp
