compatibility,parser_surface,compatibility_surface,current_scratchbird_status,classification,downstream_owner,test_destination,source_search_key
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.security.grant,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.security.grant
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.security.revoke,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.security.revoke
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.session.streaming,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.session.streaming
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.session.set,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.session.set
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.transaction.commit,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.transaction.commit
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,apache_ignite.transaction.rollback,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.transaction.rollback
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,datatype_surface:object,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDatatypeSurfaces:object
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,datatype_surface:cache_key,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDatatypeSurfaces:cache_key
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,datatype_surface:cache_policy,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDatatypeSurfaces:cache_policy
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,datatype_surface:query_hint,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDatatypeSurfaces:query_hint
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,datatype_surface:service,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDatatypeSurfaces:service
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:aggregate,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:aggregate
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:string,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:string
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:datetime,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:datetime
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:cache,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:cache
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:continuous_query,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:continuous_query
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:optimizer,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:optimizer
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:security,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:security
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,builtin_function_surface:session,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kBuiltinSurfaces:session
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:caches,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:caches
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:tables,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:tables
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:indexes,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:indexes
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:query_views,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:query_views
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:metrics,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:metrics
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:system_views,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:system_views
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:users,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:users
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,catalog_overlay_surface:roles,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kCatalogSurfaces:roles
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,diagnostic_surface:parse,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:parse
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,diagnostic_surface:udr,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:udr
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,diagnostic_surface:catalog,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:catalog
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,diagnostic_surface:session,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:session
apache_ignite,SQL_JDBC_ODBC_THIN_CACHE_API,diagnostic_surface:transaction,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kDiagnosticSurfaces:transaction
cassandra,CQL_NATIVE_PROTOCOL,cassandra.cqlsh.copy,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.cqlsh.copy
cassandra,CQL_NATIVE_PROTOCOL,cassandra.cqlsh.source,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.cqlsh.source
cassandra,CQL_NATIVE_PROTOCOL,cassandra.session.consistency,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.session.consistency
cassandra,CQL_NATIVE_PROTOCOL,cassandra.session.paging,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.session.paging
cassandra,CQL_NATIVE_PROTOCOL,cassandra.keyspace.create,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.keyspace.create
cassandra,CQL_NATIVE_PROTOCOL,cassandra.keyspace.alter,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.keyspace.alter
cassandra,CQL_NATIVE_PROTOCOL,cassandra.keyspace.drop,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.keyspace.drop
cassandra,CQL_NATIVE_PROTOCOL,cassandra.materialized_view.create,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.materialized_view.create
cassandra,CQL_NATIVE_PROTOCOL,cassandra.type.create,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.type.create
cassandra,CQL_NATIVE_PROTOCOL,cassandra.type.alter,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.type.alter
cassandra,CQL_NATIVE_PROTOCOL,cassandra.type.drop,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.type.drop
cassandra,CQL_NATIVE_PROTOCOL,cassandra.security.create_role,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.security.create_role
cassandra,CQL_NATIVE_PROTOCOL,cassandra.security.alter_role,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.security.alter_role
cassandra,CQL_NATIVE_PROTOCOL,cassandra.security.drop_role,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.security.drop_role
cassandra,CQL_NATIVE_PROTOCOL,cassandra.security.grant,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.security.grant
cassandra,CQL_NATIVE_PROTOCOL,cassandra.security.revoke,parser_declares_noncluster_route_requiring_sblr_or_udr_expansion,IMPLEMENT_NONCLUSTER,sblr expansion lead,public_execution_plan/source-evidence/final-sblr-sbsql-sblr-expansion-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.security.revoke
cassandra,CQL_NATIVE_PROTOCOL,cassandra.catalog.describe,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.catalog.describe
cassandra,CQL_NATIVE_PROTOCOL,cassandra.query.select_json,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.query.select_json
cassandra,CQL_NATIVE_PROTOCOL,cassandra.query.select,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.query.select
cassandra,CQL_NATIVE_PROTOCOL,cassandra.dml.insert_json,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.dml.insert_json
cassandra,CQL_NATIVE_PROTOCOL,cassandra.dml.insert,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.dml.insert
cassandra,CQL_NATIVE_PROTOCOL,cassandra.dml.update,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.dml.update
cassandra,CQL_NATIVE_PROTOCOL,cassandra.dml.delete,parser_declares_route_requiring_parser_remap_or_existing_sblr_binding_verification,PARSER_REMAP_ONLY,parser remap lead,public_execution_plan/final-sblr-sbsql-parser-remap-closure/,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns:cassandra.dml.delete
