audit_id,audit_type,compatibility,parser_package,parser_support_udr,cross_dialect_probe,result,reviewer,source_anchor,runtime_evidence,ctest_dependency,authority_policy,status,notes
FPR-P7-PARSER-SOURCE-011,parser_source_independent_review,yugabytedb,project/src/parsers/compatibility/yugabytedb,project/src/udr/sbu_yugabytedb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/yugabytedb/yugabytedb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-012,parser_source_independent_review,cassandra,project/src/parsers/compatibility/cassandra,project/src/udr/sbu_cassandra_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/cassandra/cassandra_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-013,parser_source_independent_review,mongodb,project/src/parsers/compatibility/mongodb,project/src/udr/sbu_mongodb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-014,parser_source_independent_review,redis,project/src/parsers/compatibility/redis,project/src/udr/sbu_redis_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/redis/redis_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-015,parser_source_independent_review,opensearch_sql_ppl,project/src/parsers/compatibility/opensearch_sql_ppl,project/src/udr/sbu_opensearch_sql_ppl_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/opensearch_sql_ppl/opensearch_sql_ppl_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-016,parser_source_independent_review,opensearch,project/src/parsers/compatibility/opensearch,project/src/udr/sbu_opensearch_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/opensearch/opensearch_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-017,parser_source_independent_review,neo4j,project/src/parsers/compatibility/neo4j,project/src/udr/sbu_neo4j_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/neo4j/neo4j_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-018,parser_source_independent_review,influxdb,project/src/parsers/compatibility/influxdb,project/src/udr/sbu_influxdb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-019,parser_source_independent_review,milvus,project/src/parsers/compatibility/milvus,project/src/udr/sbu_milvus_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-020,parser_source_independent_review,dolt,project/src/parsers/compatibility/dolt,project/src/udr/sbu_dolt_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/dolt/dolt_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-021,parser_source_independent_review,apache_ignite,project/src/parsers/compatibility/apache_ignite,project/src/udr/sbu_apache_ignite_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-022,parser_source_independent_review,tikv,project/src/parsers/compatibility/tikv,project/src/udr/sbu_tikv_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/tikv/tikv_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-023,parser_source_independent_review,foundationdb,project/src/parsers/compatibility/foundationdb,project/src/udr/sbu_foundationdb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-024,parser_source_independent_review,immudb,project/src/parsers/compatibility/immudb,project/src/udr/sbu_immudb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-PARSER-SOURCE-025,parser_source_independent_review,xtdb,project/src/parsers/compatibility/xtdb,project/src/udr/sbu_xtdb_parser_support,foreign_parser_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/parsers/compatibility/xtdb/xtdb_dialect.cpp#kPatterns,source_profile_patterns_parse_entry_verified,parser_dialect_isolation_guard,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser source has compatibility-owned profile patterns parse entry and clean package-boundary scan.
FPR-P7-UDR-SOURCE-001,udr_source_independent_review,firebird,project/src/parsers/compatibility/firebird,project/src/udr/sbu_firebird_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_firebird_parser_support/sbu_firebird_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-002,udr_source_independent_review,postgresql,project/src/parsers/compatibility/postgresql,project/src/udr/sbu_postgresql_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_postgresql_parser_support/sbu_postgresql_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-003,udr_source_independent_review,mysql,project/src/parsers/compatibility/mysql,project/src/udr/sbu_mysql_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_mysql_parser_support/sbu_mysql_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-004,udr_source_independent_review,sqlite,project/src/parsers/compatibility/sqlite,project/src/udr/sbu_sqlite_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_sqlite_parser_support/sbu_sqlite_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-005,udr_source_independent_review,mariadb,project/src/parsers/compatibility/mariadb,project/src/udr/sbu_mariadb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_mariadb_parser_support/sbu_mariadb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-006,udr_source_independent_review,duckdb,project/src/parsers/compatibility/duckdb,project/src/udr/sbu_duckdb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_duckdb_parser_support/sbu_duckdb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-007,udr_source_independent_review,clickhouse,project/src/parsers/compatibility/clickhouse,project/src/udr/sbu_clickhouse_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_clickhouse_parser_support/sbu_clickhouse_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-008,udr_source_independent_review,tidb,project/src/parsers/compatibility/tidb,project/src/udr/sbu_tidb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_tidb_parser_support/sbu_tidb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-009,udr_source_independent_review,vitess,project/src/parsers/compatibility/vitess,project/src/udr/sbu_vitess_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_vitess_parser_support/sbu_vitess_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-010,udr_source_independent_review,cockroachdb,project/src/parsers/compatibility/cockroachdb,project/src/udr/sbu_cockroachdb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_cockroachdb_parser_support/sbu_cockroachdb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-011,udr_source_independent_review,yugabytedb,project/src/parsers/compatibility/yugabytedb,project/src/udr/sbu_yugabytedb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_yugabytedb_parser_support/sbu_yugabytedb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-012,udr_source_independent_review,cassandra,project/src/parsers/compatibility/cassandra,project/src/udr/sbu_cassandra_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_cassandra_parser_support/sbu_cassandra_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-013,udr_source_independent_review,mongodb,project/src/parsers/compatibility/mongodb,project/src/udr/sbu_mongodb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_mongodb_parser_support/sbu_mongodb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-014,udr_source_independent_review,redis,project/src/parsers/compatibility/redis,project/src/udr/sbu_redis_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_redis_parser_support/sbu_redis_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-015,udr_source_independent_review,opensearch_sql_ppl,project/src/parsers/compatibility/opensearch_sql_ppl,project/src/udr/sbu_opensearch_sql_ppl_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_opensearch_sql_ppl_parser_support/sbu_opensearch_sql_ppl_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-016,udr_source_independent_review,opensearch,project/src/parsers/compatibility/opensearch,project/src/udr/sbu_opensearch_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_opensearch_parser_support/sbu_opensearch_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-017,udr_source_independent_review,neo4j,project/src/parsers/compatibility/neo4j,project/src/udr/sbu_neo4j_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_neo4j_parser_support/sbu_neo4j_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-018,udr_source_independent_review,influxdb,project/src/parsers/compatibility/influxdb,project/src/udr/sbu_influxdb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_influxdb_parser_support/sbu_influxdb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-019,udr_source_independent_review,milvus,project/src/parsers/compatibility/milvus,project/src/udr/sbu_milvus_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_milvus_parser_support/sbu_milvus_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-020,udr_source_independent_review,dolt,project/src/parsers/compatibility/dolt,project/src/udr/sbu_dolt_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_dolt_parser_support/sbu_dolt_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-021,udr_source_independent_review,apache_ignite,project/src/parsers/compatibility/apache_ignite,project/src/udr/sbu_apache_ignite_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_apache_ignite_parser_support/sbu_apache_ignite_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-022,udr_source_independent_review,tikv,project/src/parsers/compatibility/tikv,project/src/udr/sbu_tikv_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_tikv_parser_support/sbu_tikv_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-023,udr_source_independent_review,foundationdb,project/src/parsers/compatibility/foundationdb,project/src/udr/sbu_foundationdb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_foundationdb_parser_support/sbu_foundationdb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-024,udr_source_independent_review,immudb,project/src/parsers/compatibility/immudb,project/src/udr/sbu_immudb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_immudb_parser_support/sbu_immudb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-UDR-SOURCE-025,udr_source_independent_review,xtdb,project/src/parsers/compatibility/xtdb,project/src/udr/sbu_xtdb_parser_support,foreign_udr_dependency_scan=clean;sbsql_surface_scan=clean,passed,independent_parser_remap_auditor,project/src/udr/sbu_xtdb_parser_support/sbu_xtdb_parser_support.cpp#kManagementOperations,management_inventory_engine_authorization_mga_contract_verified,sbu_compatibility_sql_parser_support_probe,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Parser-support UDR has management inventory engine authorization and MGA authority contract.
FPR-P7-RUNTIME-REPLAY-001,runtime_replay_independent_review,firebird,project/src/parsers/compatibility/firebird,project/src/udr/sbu_firebird_parser_support,positive_replay_and_isolation_evidence=verified,passed,independent_parser_remap_auditor,public_execution_plan/final-sblr-sbsql-parser-remap-closure/COMPATIBILITY_REPLAY_PROOF_UPDATE_MATRIX.csv#compatibility_replay_summary,parser_dialect_isolation_evidence.json;parser_compatibility_replay_proof_evidence.json,parser_compatibility_replay_proof_gate,parser_evidence_only_engine_mga_security_storage_authority,p7_parser_remap_audit_verified,Runtime evidence proves compatibility-positive replay SBsql rejection and foreign compatibility rejection coverage.
