normalized_command,family,authority,required_provider_api,sblr_requirement,message_vector_policy
cluster.route.reject_stale_owner,cluster_routing_and_placement,route_authority_service,cluster.reject_stale_owner,sblr.cluster.control.v3:cluster.route.reject_stale_owner,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.route.inspect_plan,cluster_routing_and_placement,route_authority_service,cluster.inspect_routing_plan,sblr.cluster.report.v3:cluster.route.inspect_plan,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.placement.place_object,cluster_routing_and_placement,placement_authority,cluster.place_object,sblr.cluster.control.v3:cluster.placement.place_object,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.placement.rebalance_shards,cluster_routing_and_placement,placement_authority,cluster.rebalance_shards,required_new:sblr.cluster.placement.v1:cluster.placement.rebalance_shards,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.placement.validate_partition_distribution,cluster_routing_and_placement,placement_authority,cluster.validate_partition_distribution,required_new:sblr.cluster.placement.v1:cluster.placement.validate_partition_distribution,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.placement.assign_tablet_range,cluster_routing_and_placement,placement_authority,cluster.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.begin_distributed,cluster_transaction_and_finality,cluster_decision_service,cluster.begin_distributed_transaction,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.prepare_remote_participant,cluster_transaction_and_finality,cluster_decision_service,cluster.prepare_remote_participant_insert,required_new:sblr.cluster.transaction.v1:cluster.tx.prepare_remote_participant,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.publish_commit_barrier,cluster_transaction_and_finality,cluster_decision_service,cluster.publish_commit_barrier,required_new:sblr.cluster.transaction.v1:cluster.tx.publish_commit_barrier,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.publish_rollback_barrier,cluster_transaction_and_finality,cluster_decision_service,cluster.publish_rollback_barrier,required_new:sblr.cluster.transaction.v1:cluster.tx.publish_rollback_barrier,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.recover_limbo_participant,cluster_transaction_and_finality,cluster_decision_service,cluster.recover_limbo_participant,required_new:sblr.cluster.transaction.v1:cluster.tx.recover_limbo_participant,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.advance_cleanup_low_water,cluster_transaction_and_finality,cluster_decision_service,cluster.advance_cleanup_low_water,required_new:sblr.cluster.transaction.v1:cluster.tx.advance_cleanup_low_water,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.tx.validate_finality_proof,cluster_transaction_and_finality,cluster_decision_service,cluster.validate_finality_proof,required_new:sblr.cluster.transaction.v1:cluster.tx.validate_finality_proof,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.replication.consume_cluster_event,cluster_transaction_and_finality,replication_consumer_authority,cluster.inspect_replication,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.reconcile.branch_ledger,cluster_reconciliation,cluster_decision_service,cluster.reconcile_branch_ledger,required_new:sblr.cluster.reconciliation.v1:cluster.reconcile.branch_ledger,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.reconcile.apply_merge_policy,cluster_reconciliation,reconciliation_authority,cluster.apply_merge_policy,required_new:sblr.cluster.reconciliation.v1:cluster.reconcile.apply_merge_policy,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.reconcile.report_conflict,cluster_reconciliation,reconciliation_authority,cluster.report_reconciliation_conflict,sblr.cluster.report.v3:cluster.reconcile.report_conflict,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.reconcile.classify_non_mergeable,cluster_reconciliation,reconciliation_authority,cluster.classify_non_mergeable_data,required_new:sblr.cluster.reconciliation.v1:cluster.reconcile.classify_non_mergeable,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.reconcile.publish_client_finality,cluster_reconciliation,cluster_decision_service,cluster.publish_reconciled_finality,required_new:sblr.cluster.reconciliation.v1:cluster.reconcile.publish_client_finality,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.security.validate_epoch,cluster_security_and_fencing,cluster_decision_service,cluster.validate_epoch,sblr.cluster.control.v3:cluster.security.validate_epoch,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.security.issue_fence_token,cluster_security_and_fencing,fence_token_authority,cluster.issue_fence_token,required_new:sblr.cluster.security.v1:cluster.security.issue_fence_token,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.security.revoke_fence_token,cluster_security_and_fencing,fence_token_authority,cluster.revoke_fence_token,required_new:sblr.cluster.security.v1:cluster.security.revoke_fence_token,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.security.validate_policy_version,cluster_security_and_fencing,cluster_security_policy_authority,cluster.validate_policy_version,required_new:sblr.cluster.security.v1:cluster.security.validate_policy_version,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.security.admit_provider_handshake,cluster_security_and_fencing,provider_boundary,cluster.validate_provider_handshake,sblr.cluster.control.v3:cluster.security.admit_provider_handshake,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.security.refuse_local_cluster_mutation,cluster_security_and_fencing,provider_boundary,exact_refusal_no_provider_call,sblr.cluster.control.v3:cluster.security.refuse_local_cluster_mutation,exact_pre_provider_refusal_no_provider_call
cluster.security.validate_route_authority,cluster_security_and_fencing,route_authority_service,cluster.validate_insert_route_fence,sblr.cluster.control.v3:cluster.security.validate_route_authority,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.job.start_controlled,cluster_jobs_and_admin,cluster_job_authority,cluster.start_job,sblr.cluster.control.v3:cluster.job.start_controlled,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.job.cancel_controlled,cluster_jobs_and_admin,cluster_job_authority,cluster.cancel_job,sblr.cluster.control.v3:cluster.job.cancel_controlled,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.job.throttle_workload,cluster_jobs_and_admin,cluster_job_authority,cluster.throttle_workload,sblr.cluster.control.v3:cluster.job.throttle_workload,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.admin.inspect_status,cluster_jobs_and_admin,metrics_observability,cluster.inspect_state,sblr.cluster.report.v3:cluster.admin.inspect_status,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.admin.run_maintenance,cluster_jobs_and_admin,cluster_job_authority,cluster.run_maintenance,sblr.cluster.control.v3:cluster.admin.run_maintenance,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.admin.refuse_reference_shell_control,cluster_jobs_and_admin,provider_boundary,exact_refusal_no_provider_call,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal_no_provider_call
cluster.metrics.snapshot,cluster_metrics_and_observability,metrics_observability,cluster.inspect_state,sblr.cluster.report.v3:cluster.metrics.snapshot,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.metrics.trace_route,cluster_metrics_and_observability,metrics_observability,cluster.inspect_routing_plan,sblr.cluster.report.v3:cluster.metrics.trace_route,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.metrics.emit_event,cluster_metrics_and_observability,metrics_observability,cluster.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.metrics.inspect_provider,cluster_metrics_and_observability,provider_boundary,cluster.inspect_provider,sblr.cluster.report.v3:cluster.metrics.inspect_provider,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.metrics.collect_support_bundle,cluster_metrics_and_observability,metrics_observability,cluster.collect_support_bundle,sblr.cluster.report.v3:cluster.metrics.collect_support_bundle,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.plan_distributed,cluster_query_and_distributed_execution,provider_boundary,cluster.query.plan_distributed,required_new:sblr.cluster.query.v1:cluster.query.plan_distributed,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.admit_cross_node,cluster_query_and_distributed_execution,route_authority_service,cluster.query.admit_cross_node,required_new:sblr.cluster.query.v1:cluster.query.admit_cross_node,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.route_shard_read,cluster_query_and_distributed_execution,route_authority_service,cluster.query.route_shard_read,required_new:sblr.cluster.query.v1:cluster.query.route_shard_read,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.execute_fragment,cluster_query_and_distributed_execution,external_cluster_provider_only,cluster.query.execute_fragment,required_new:sblr.cluster.query.v1:cluster.query.execute_fragment,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.fanout_search,cluster_query_and_distributed_execution,external_cluster_provider_only,cluster.query.fanout_search,required_new:sblr.cluster.query.v1:cluster.query.fanout_search,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.merge_results,cluster_query_and_distributed_execution,external_cluster_provider_only,cluster.query.merge_results,required_new:sblr.cluster.query.v1:cluster.query.merge_results,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.aggregate_partial,cluster_query_and_distributed_execution,external_cluster_provider_only,cluster.query.aggregate_partial,required_new:sblr.cluster.query.v1:cluster.query.aggregate_partial,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.validate_safe_read,cluster_query_and_distributed_execution,safe_read_proof_service,cluster.query.validate_safe_read,required_new:sblr.cluster.query.v1:cluster.query.validate_safe_read,disabled_returns_functionality_unsupported;enabled_stub_returns_functionality_unlicensed;private_provider_required_for_execution
cluster.query.refuse_local_query_as_cluster_authority,cluster_query_and_distributed_execution,provider_boundary,exact_refusal_no_provider_call,required_new:sblr.cluster.query.v1:cluster.query.refuse_local_query_as_cluster_authority,exact_pre_provider_refusal_no_provider_call;local_query_sblr_remains_local_engine_authority
