family_id,profile_class,udr_package,bridge_mode,admission_policy,allowed_runtime_effects,transaction_authority,security_authority,forbidden_authorities,diagnostic_set,conformance_gate
neo4j,compatibility_emulation,project/src/udr/packages/compatibility/neo4j,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.NEO4J.UDR_BRIDGE_UNAVAILABLE;REFERENCE.NEO4J.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
opensearch,compatibility_emulation,project/src/udr/packages/compatibility/opensearch,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.OPENSEARCH.UDR_BRIDGE_UNAVAILABLE;REFERENCE.OPENSEARCH.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
opensearch_sql_ppl,compatibility_emulation,project/src/udr/packages/compatibility/opensearch_sql_ppl,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.OPENSEARCH_SQL_PPL.UDR_BRIDGE_UNAVAILABLE;REFERENCE.OPENSEARCH_SQL_PPL.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
influxdb,compatibility_emulation,project/src/udr/packages/compatibility/influxdb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.INFLUXDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.INFLUXDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
milvus,compatibility_emulation,project/src/udr/packages/compatibility/milvus,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.MILVUS.UDR_BRIDGE_UNAVAILABLE;REFERENCE.MILVUS.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
cockroachdb,compatibility_emulation,project/src/udr/packages/compatibility/cockroachdb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.COCKROACHDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.COCKROACHDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
tidb,compatibility_emulation,project/src/udr/packages/compatibility/tidb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.TIDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.TIDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
tikv,compatibility_emulation,project/src/udr/packages/compatibility/tikv,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.TIKV.UDR_BRIDGE_UNAVAILABLE;REFERENCE.TIKV.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
yugabytedb,compatibility_emulation,project/src/udr/packages/compatibility/yugabytedb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.YUGABYTEDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.YUGABYTEDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
vitess,compatibility_emulation,project/src/udr/packages/compatibility/vitess,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.VITESS.UDR_BRIDGE_UNAVAILABLE;REFERENCE.VITESS.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
foundationdb,compatibility_emulation,project/src/udr/packages/compatibility/foundationdb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.FOUNDATIONDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.FOUNDATIONDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
apache_ignite,compatibility_emulation,project/src/udr/packages/compatibility/apache_ignite,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.APACHE_IGNITE.UDR_BRIDGE_UNAVAILABLE;REFERENCE.APACHE_IGNITE.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
dolt,compatibility_emulation,project/src/udr/packages/compatibility/dolt,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.DOLT.UDR_BRIDGE_UNAVAILABLE;REFERENCE.DOLT.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
immudb,compatibility_emulation,project/src/udr/packages/compatibility/immudb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.IMMUDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.IMMUDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
xtdb,compatibility_emulation,project/src/udr/packages/compatibility/xtdb,trusted_parser_support_or_exact_refusal,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,REFERENCE.XTDB.UDR_BRIDGE_UNAVAILABLE;REFERENCE.XTDB.SANDBOX_FORBIDDEN_BY_POLICY,compatibility_sandbox_bridge_gate
sqlserver,capability_reference,project/src/udr/packages/capability_reference/sqlserver,outbound_cpp_connectivity_udr_only,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,CAPREF.SQLSERVER.CONNECTIVITY_UDR_MISSING;CAPREF.EMULATION_FORBIDDEN,compatibility_capability_reference_gate
oracle,capability_reference,project/src/udr/packages/capability_reference/oracle,outbound_cpp_connectivity_udr_only,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,CAPREF.ORACLE.CONNECTIVITY_UDR_MISSING;CAPREF.EMULATION_FORBIDDEN,compatibility_capability_reference_gate
db2,capability_reference,project/src/udr/packages/capability_reference/db2,outbound_cpp_connectivity_udr_only,engine_policy_admitted_or_exact_refusal,metadata_rendering;migration_input;diagnostic_rendering;no_storage_authority,engine_mga,engine_security,compatibility_storage_authority;compatibility_recovery_authority;compatibility_transaction_authority;parser_transaction_authority;wal_recovery_authority,CAPREF.DB2.CONNECTIVITY_UDR_MISSING;CAPREF.EMULATION_FORBIDDEN,compatibility_capability_reference_gate
