normalized_command,authority,compile_policy,license_policy,fail_closed_behavior
cluster.node.validate_role_suitability,cluster_role_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.route.publish_owner,route_authority_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.route.reject_stale_owner,route_authority_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.route.inspect_plan,route_authority_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.placement.place_object,placement_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.placement.rebalance_shards,placement_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.placement.validate_partition_distribution,placement_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.placement.assign_tablet_range,placement_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.begin_distributed,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.prepare_remote_participant,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.publish_commit_barrier,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.publish_rollback_barrier,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.recover_limbo_participant,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.advance_cleanup_low_water,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.tx.validate_finality_proof,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.replication.consume_cluster_event,replication_consumer_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.reconcile.branch_ledger,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.reconcile.apply_merge_policy,reconciliation_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.reconcile.report_conflict,reconciliation_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.reconcile.classify_non_mergeable,reconciliation_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.reconcile.publish_client_finality,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.security.validate_epoch,cluster_decision_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.security.issue_fence_token,fence_token_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.security.revoke_fence_token,fence_token_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.security.validate_policy_version,cluster_security_policy_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.security.admit_provider_handshake,provider_boundary,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.security.refuse_local_cluster_mutation,provider_boundary,exact_pre_provider_refusal_no_provider_call,not_licensable_public_or_private_behavior_refused_before_provider_boundary,excluded_from_required_operation_set;route_admission_rejects_with_kClusterRouteAdmissionUnsupportedOperationCode;no_public_private_or_compatibility_cluster_behavior
cluster.security.validate_route_authority,route_authority_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.job.start_controlled,cluster_job_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.job.cancel_controlled,cluster_job_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.job.throttle_workload,cluster_job_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.admin.inspect_status,metrics_observability,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.admin.run_maintenance,cluster_job_authority,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.admin.refuse_reference_shell_control,provider_boundary,exact_pre_provider_refusal_no_provider_call,not_licensable_public_or_private_behavior_refused_before_provider_boundary,excluded_from_required_operation_set;route_admission_rejects_with_kClusterRouteAdmissionUnsupportedOperationCode;no_public_private_or_compatibility_cluster_behavior
cluster.metrics.snapshot,metrics_observability,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.metrics.trace_route,metrics_observability,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.metrics.emit_event,metrics_observability,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.metrics.inspect_provider,provider_boundary,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.metrics.collect_support_bundle,metrics_observability,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.plan_distributed,provider_boundary,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.admit_cross_node,route_authority_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.route_shard_read,route_authority_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.execute_fragment,external_cluster_provider_only,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.fanout_search,external_cluster_provider_only,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.merge_results,external_cluster_provider_only,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.aggregate_partial,external_cluster_provider_only,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.validate_safe_read,safe_read_proof_service,SB_ENABLE_CLUSTER_PROVIDER_OFF_returns_functionality_unsupported_kClusterSupportNotEnabledCode;SB_ENABLE_CLUSTER_PROVIDER_ON_requires_provider_boundary,public_compile_link_stub_returns_functionality_unlicensed_kClusterHandshakeStubCompileLinkOnlyCode;private_provider_required_for_execution,cluster_authority_required_true;empty_result_rows;route_admission_false_in_public_in_tree_providers;no_mutation_or_cluster_behavior
cluster.query.refuse_local_query_as_cluster_authority,provider_boundary,exact_pre_provider_refusal_no_provider_call,not_licensable_public_or_private_behavior_refused_before_provider_boundary,excluded_from_required_operation_set;route_admission_rejects_with_kClusterRouteAdmissionUnsupportedOperationCode;no_public_private_or_compatibility_cluster_behavior
