compatibility,compatibility_surface,normalized_command,sblr_route,refusal_policy,source_search_key,compatibility_isolation,downstream_phase,cross_node_distributed_query_marker
apache_ignite,apache_ignite.admin.control_script,cluster.admin.refuse_reference_shell_control,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal_no_provider_call,project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,cockroachdb.changefeed.create,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.changefeed.create,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,cockroachdb.cluster.setting.set,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.cluster.setting.set,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,cockroachdb.cluster.experimental_relocate,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.cluster.experimental_relocate,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,catalog_overlay_surface:cluster_settings,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kCatalogSurfaces:cluster_settings,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,diagnostic_surface:changefeed,cluster.metrics.emit_event,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:changefeed,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,diagnostic_surface:cluster,cluster.metrics.snapshot,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
cockroachdb,diagnostic_surface:unsupported,cluster.metrics.collect_support_bundle,sblr.cluster.report.v3:cluster.metrics.collect_support_bundle,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:unsupported,own_compatibility_surface_only,FPR-P2,not_cluster_query
firebird,firebird.emulated.replication_journal,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.replication_journal,own_compatibility_surface_only,FPR-P2,not_cluster_query
firebird,firebird.emulated.replication_journal,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.replication_journal,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,foundationdb.admin.configure,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.configure,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,foundationdb.admin.coordinators,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.coordinators,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,foundationdb.admin.exclude,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.exclude,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,foundationdb.admin.include,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.include,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,foundationdb.admin.kill,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.kill,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,foundationdb.admin.force_recovery,cluster.tx.recover_limbo_participant,required_new:sblr.cluster.transaction.v1:cluster.tx.recover_limbo_participant,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.force_recovery,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,builtin_function_surface:cluster,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kBuiltinSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
foundationdb,catalog_overlay_surface:cluster,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kCatalogSurfaces:cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
immudb,immudb.replication.admin,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns:immudb.replication.admin,own_compatibility_surface_only,FPR-P2,not_cluster_query
immudb,immudb.replication.apply,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns:immudb.replication.apply,own_compatibility_surface_only,FPR-P2,not_cluster_query
immudb,builtin_function_surface:replication,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kBuiltinSurfaces:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
influxdb,influxdb.admin.show_servers,cluster.admin.inspect_status,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#kPatterns:influxdb.admin.show_servers,own_compatibility_surface_only,FPR-P2,not_cluster_query
influxdb,influxdb.admin.show_cluster,cluster.admin.inspect_status,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#kPatterns:influxdb.admin.show_cluster,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.reset_master,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.reset_master,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.change_source,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.change_source,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.change_master_legacy,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.change_master_legacy,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.start_replica,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.start_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.stop_replica,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.stop_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.reset_replica,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.reset_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.show_replica_status,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.show_replica_status,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.show_slave_status_legacy,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.show_slave_status_legacy,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.purge_binary_logs,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.purge_binary_logs,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,mariadb.replication.reset_binary_logs,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.reset_binary_logs,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,catalog_overlay_surface:replication_status,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kCatalogSurfaces:replication_status,own_compatibility_surface_only,FPR-P2,not_cluster_query
mariadb,diagnostic_surface:replication,cluster.metrics.snapshot,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
milvus,milvus.admin.transfer_replica,cluster.tx.begin_distributed,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns:milvus.admin.transfer_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
milvus,milvus.admin.load_balance,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns:milvus.admin.load_balance,own_compatibility_surface_only,FPR-P2,not_cluster_query
milvus,milvus.admin.show_replicas,cluster.tx.begin_distributed,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns:milvus.admin.show_replicas,own_compatibility_surface_only,FPR-P2,not_cluster_query
mongodb,mongodb.sharding.shard_collection,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kPatterns:mongodb.sharding.shard_collection,own_compatibility_surface_only,FPR-P2,not_cluster_query
mongodb,mongodb.sharding.reshard_collection,cluster.placement.assign_tablet_range,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kPatterns:mongodb.sharding.reshard_collection,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.change_source,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.change_source,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.change_master_legacy,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.change_master_legacy,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.start_replica,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.start_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.stop_replica,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.stop_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.reset_replica,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.reset_replica,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.show_replica_status,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.show_replica_status,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.show_slave_status_legacy,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.show_slave_status_legacy,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.purge_binary_logs,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.purge_binary_logs,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,mysql.replication.reset_binary_logs,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.reset_binary_logs,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,catalog_overlay_surface:replication_status,cluster.replication.consume_cluster_event,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kCatalogSurfaces:replication_status,own_compatibility_surface_only,FPR-P2,not_cluster_query
mysql,diagnostic_surface:replication,cluster.metrics.snapshot,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kDiagnosticSurfaces:replication,own_compatibility_surface_only,FPR-P2,not_cluster_query
neo4j,neo4j.admin.show_servers,cluster.admin.inspect_status,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/neo4j/neo4j_dialect.cpp#kPatterns:neo4j.admin.show_servers,own_compatibility_surface_only,FPR-P2,not_cluster_query
neo4j,neo4j.admin.enable_server,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/neo4j/neo4j_dialect.cpp#kPatterns:neo4j.admin.enable_server,own_compatibility_surface_only,FPR-P2,not_cluster_query
neo4j,neo4j.admin.reallocate_databases,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/neo4j/neo4j_dialect.cpp#kPatterns:neo4j.admin.reallocate_databases,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,opensearch.admin.cluster_health,cluster.admin.inspect_status,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/opensearch/opensearch_dialect.cpp#kPatterns:opensearch.admin.cluster_health,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,opensearch.admin.cluster_update,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/opensearch/opensearch_dialect.cpp#kPatterns:opensearch.admin.cluster_update,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,opensearch.admin.nodes,cluster.node.admit_member,sblr.cluster.control.v3:cluster.node.admit_member,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/opensearch/opensearch_dialect.cpp#kPatterns:opensearch.admin.nodes,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,opensearch_sql_ppl.cluster.get,cluster.admin.inspect_status,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/opensearch_sql_ppl/opensearch_sql_ppl_dialect.cpp#kPatterns:opensearch_sql_ppl.cluster.get,own_compatibility_surface_only,FPR-P2,not_cluster_query
opensearch,opensearch_sql_ppl.cluster.post,cluster.job.start_controlled,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution,project/src/parsers/compatibility/opensearch_sql_ppl/opensearch_sql_ppl_dialect.cpp#kPatterns:opensearch_sql_ppl.cluster.post,own_compatibility_surface_only,FPR-P2,not_cluster_query
