compatibility,compatibility_surface,normalized_command,parser_route,sblr_route,refusal_policy
apache_ignite,apache_ignite.admin.control_script,cluster.admin.refuse_reference_shell_control,source_search_key=project/src/parsers/compatibility/apache_ignite/apache_ignite_dialect.cpp#kPatterns:apache_ignite.admin.control_script;intake_id=FSC-INTAKE-COMPATIBILITY-0001;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.admin.refuse_reference_shell_control,exact_pre_provider_refusal_no_provider_call
cockroachdb,cockroachdb.changefeed.create,cluster.metrics.emit_event,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.changefeed.create;intake_id=FSC-INTAKE-COMPATIBILITY-0012;source_family=changefeed_stream;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
cockroachdb,cockroachdb.cluster.setting.set,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.cluster.setting.set;intake_id=FSC-INTAKE-COMPATIBILITY-0013;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
cockroachdb,cockroachdb.cluster.experimental_relocate,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kPatterns:cockroachdb.cluster.experimental_relocate;intake_id=FSC-INTAKE-COMPATIBILITY-0014;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
cockroachdb,catalog_overlay_surface:cluster_settings,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kCatalogSurfaces:cluster_settings;intake_id=FSC-INTAKE-COMPATIBILITY-0015;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
cockroachdb,diagnostic_surface:changefeed,cluster.metrics.emit_event,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:changefeed;intake_id=FSC-INTAKE-COMPATIBILITY-0016;source_family=changefeed_stream;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.metrics.emit_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
cockroachdb,diagnostic_surface:cluster,cluster.metrics.snapshot,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:cluster;intake_id=FSC-INTAKE-COMPATIBILITY-0017;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
cockroachdb,diagnostic_surface:unsupported,cluster.metrics.collect_support_bundle,source_search_key=project/src/parsers/compatibility/cockroachdb/cockroachdb_dialect.cpp#kDiagnosticSurfaces:unsupported;intake_id=FSC-INTAKE-COMPATIBILITY-0018;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.metrics.collect_support_bundle,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
firebird,firebird.emulated.replication_journal,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.replication_journal;intake_id=FSC-INTAKE-COMPATIBILITY-0019;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
firebird,firebird.emulated.replication_journal,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.replication_journal;intake_id=FSC-INTAKE-COMPATIBILITY-0020;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,foundationdb.admin.configure,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.configure;intake_id=FSC-INTAKE-COMPATIBILITY-0021;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,foundationdb.admin.coordinators,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.coordinators;intake_id=FSC-INTAKE-COMPATIBILITY-0022;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,foundationdb.admin.exclude,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.exclude;intake_id=FSC-INTAKE-COMPATIBILITY-0023;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,foundationdb.admin.include,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.include;intake_id=FSC-INTAKE-COMPATIBILITY-0024;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,foundationdb.admin.kill,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.kill;intake_id=FSC-INTAKE-COMPATIBILITY-0025;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,foundationdb.admin.force_recovery,cluster.tx.recover_limbo_participant,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kPatterns:foundationdb.admin.force_recovery;intake_id=FSC-INTAKE-COMPATIBILITY-0026;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,required_new:sblr.cluster.transaction.v1:cluster.tx.recover_limbo_participant,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,builtin_function_surface:cluster,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kBuiltinSurfaces:cluster;intake_id=FSC-INTAKE-COMPATIBILITY-0027;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
foundationdb,catalog_overlay_surface:cluster,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/foundationdb/foundationdb_dialect.cpp#kCatalogSurfaces:cluster;intake_id=FSC-INTAKE-COMPATIBILITY-0028;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
immudb,immudb.replication.admin,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns:immudb.replication.admin;intake_id=FSC-INTAKE-COMPATIBILITY-0029;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
immudb,immudb.replication.apply,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns:immudb.replication.apply;intake_id=FSC-INTAKE-COMPATIBILITY-0030;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
immudb,builtin_function_surface:replication,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kBuiltinSurfaces:replication;intake_id=FSC-INTAKE-COMPATIBILITY-0031;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
influxdb,influxdb.admin.show_servers,cluster.admin.inspect_status,source_search_key=project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#kPatterns:influxdb.admin.show_servers;intake_id=FSC-INTAKE-COMPATIBILITY-0032;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
influxdb,influxdb.admin.show_cluster,cluster.admin.inspect_status,source_search_key=project/src/parsers/compatibility/influxdb/influxdb_dialect.cpp#kPatterns:influxdb.admin.show_cluster;intake_id=FSC-INTAKE-COMPATIBILITY-0033;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.admin.inspect_status,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.reset_master,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.reset_master;intake_id=FSC-INTAKE-COMPATIBILITY-0034;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.change_source,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.change_source;intake_id=FSC-INTAKE-COMPATIBILITY-0035;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.change_master_legacy,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.change_master_legacy;intake_id=FSC-INTAKE-COMPATIBILITY-0036;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.start_replica,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.start_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0037;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.stop_replica,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.stop_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0038;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.reset_replica,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.reset_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0039;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.show_replica_status,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.show_replica_status;intake_id=FSC-INTAKE-COMPATIBILITY-0040;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.show_slave_status_legacy,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.show_slave_status_legacy;intake_id=FSC-INTAKE-COMPATIBILITY-0041;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.purge_binary_logs,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.purge_binary_logs;intake_id=FSC-INTAKE-COMPATIBILITY-0042;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,mariadb.replication.reset_binary_logs,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.replication.reset_binary_logs;intake_id=FSC-INTAKE-COMPATIBILITY-0043;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,catalog_overlay_surface:replication_status,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kCatalogSurfaces:replication_status;intake_id=FSC-INTAKE-COMPATIBILITY-0044;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mariadb,diagnostic_surface:replication,cluster.metrics.snapshot,source_search_key=project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kDiagnosticSurfaces:replication;intake_id=FSC-INTAKE-COMPATIBILITY-0045;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.report.v3:cluster.metrics.snapshot,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
milvus,milvus.admin.transfer_replica,cluster.tx.begin_distributed,source_search_key=project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns:milvus.admin.transfer_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0046;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
milvus,milvus.admin.load_balance,cluster.job.start_controlled,source_search_key=project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns:milvus.admin.load_balance;intake_id=FSC-INTAKE-COMPATIBILITY-0047;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,sblr.cluster.control.v3:cluster.job.start_controlled,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
milvus,milvus.admin.show_replicas,cluster.tx.begin_distributed,source_search_key=project/src/parsers/compatibility/milvus/milvus_dialect.cpp#kPatterns:milvus.admin.show_replicas;intake_id=FSC-INTAKE-COMPATIBILITY-0048;source_family=cluster_topology_or_control;compatibility_parser_isolation=own_surface_only,required_new:sblr.cluster.transaction.v1:cluster.tx.begin_distributed,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mongodb,mongodb.sharding.shard_collection,cluster.placement.assign_tablet_range,source_search_key=project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kPatterns:mongodb.sharding.shard_collection;intake_id=FSC-INTAKE-COMPATIBILITY-0049;source_family=shard_placement;compatibility_parser_isolation=own_surface_only,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mongodb,mongodb.sharding.reshard_collection,cluster.placement.assign_tablet_range,source_search_key=project/src/parsers/compatibility/mongodb/mongodb_dialect.cpp#kPatterns:mongodb.sharding.reshard_collection;intake_id=FSC-INTAKE-COMPATIBILITY-0050;source_family=shard_placement;compatibility_parser_isolation=own_surface_only,required_new:sblr.cluster.placement.v1:cluster.placement.assign_tablet_range,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.change_source,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.change_source;intake_id=FSC-INTAKE-COMPATIBILITY-0051;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.change_master_legacy,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.change_master_legacy;intake_id=FSC-INTAKE-COMPATIBILITY-0052;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.start_replica,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.start_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0053;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.stop_replica,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.stop_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0054;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.reset_replica,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.reset_replica;intake_id=FSC-INTAKE-COMPATIBILITY-0055;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.show_replica_status,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.show_replica_status;intake_id=FSC-INTAKE-COMPATIBILITY-0056;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.show_slave_status_legacy,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.show_slave_status_legacy;intake_id=FSC-INTAKE-COMPATIBILITY-0057;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
mysql,mysql.replication.purge_binary_logs,cluster.replication.consume_cluster_event,source_search_key=project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.replication.purge_binary_logs;intake_id=FSC-INTAKE-COMPATIBILITY-0058;source_family=replication_control;compatibility_parser_isolation=own_surface_only,sblr.replication.consumer.v3:cluster.replication.consume_cluster_event,compile_flag_disabled_returns_functionality_unsupported;public_stub_enabled_returns_functionality_unlicensed;private_provider_required_for_execution
