compatibility,external_authority_surface,provider_boundary,admission_policy,fail_closed_behavior,test_destination,source_search_key
duckdb,duckdb.external_scan.read_csv,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.external_scan.read_csv
duckdb,duckdb.external_scan.read_parquet,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.external_scan.read_parquet
duckdb,duckdb.external_scan.read_json,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.external_scan.read_json
duckdb,duckdb.external_scan.http,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.external_scan.http
duckdb,duckdb.external_scan.s3,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.external_scan.s3
duckdb,duckdb.bulk_io.export_database,import_export_file_io,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.bulk_io.export_database
duckdb,duckdb.bulk_io.import_database,import_export_file_io,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.bulk_io.import_database
duckdb,duckdb.lifecycle.attach,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.lifecycle.attach
duckdb,duckdb.lifecycle.detach,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kPatterns:duckdb.lifecycle.detach
duckdb,builtin_function_surface:external_scan,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kBuiltinSurfaces:external_scan
duckdb,catalog_overlay_surface:external_files,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kCatalogSurfaces:external_files
duckdb,diagnostic_surface:external_io,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/duckdb/duckdb_dialect.cpp#kDiagnosticSurfaces:external_io
firebird,firebird.emulated.database_file_management,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.database_file_management
firebird,firebird.emulated.shadow_storage,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.shadow_storage
firebird,firebird.emulated.backup_restore,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.backup_restore
firebird,firebird.emulated.external_plugin,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.external_plugin
firebird,firebird.emulated.service_api,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#FirebirdMappingStorage:firebird.emulated.service_api
firebird,firebird.emulated.shadow_raw_storage,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.shadow_raw_storage
firebird,firebird.emulated.database_lifecycle,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.database_lifecycle
firebird,firebird.emulated.shadow_storage,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.shadow_storage
firebird,firebird.emulated.external_table_authority,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.external_table_authority
firebird,firebird.emulated.plugin_external_engine,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.plugin_external_engine
firebird,firebird.emulated.security_projection,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.security_projection
firebird,firebird.emulated.backup_restore,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.backup_restore
firebird,firebird.emulated.incremental_backup,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.incremental_backup
firebird,firebird.emulated.validation_repair_sweep,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.validation_repair_sweep
firebird,firebird.emulated.trace_monitoring,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.trace_monitoring
firebird,firebird.emulated.service_api,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.service_api
firebird,firebird.emulated.reference_native_tool,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyNonFileOperation:firebird.emulated.reference_native_tool
firebird,firebird.isql.noop,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.noop
firebird,firebird.isql.input_data_block,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.input_data_block
firebird,firebird.isql.connect,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.connect
firebird,firebird.isql.disconnect,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.disconnect
firebird,firebird.isql.set,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.set
firebird,firebird.isql.show,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.show
firebird,firebird.isql.extract,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.extract
firebird,firebird.isql.input,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.input
firebird,firebird.isql.output,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.output
firebird,firebird.isql.help,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.help
firebird,firebird.isql.exit,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.exit
firebird,firebird.isql.frontend_utility,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/firebird/firebird_dialect.cpp#ClassifyIsqlOperation:firebird.isql.frontend_utility
immudb,immudb.backup.dump,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns:immudb.backup.dump
immudb,immudb.backup.restore,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/immudb/immudb_dialect.cpp#kPatterns:immudb.backup.restore
mariadb,mariadb.bulk_io.backup_stage,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.bulk_io.backup_stage
mariadb,mariadb.bulk_io.load_data_infile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.bulk_io.load_data_infile
mariadb,mariadb.bulk_io.load_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.bulk_io.load_file
mariadb,mariadb.bulk_io.select_into_outfile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.bulk_io.select_into_outfile
mariadb,mariadb.bulk_io.select_into_dumpfile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mariadb/mariadb_dialect.cpp#kPatterns:mariadb.bulk_io.select_into_dumpfile
mysql,mysql.bulk_io.load_data_infile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.bulk_io.load_data_infile
mysql,mysql.bulk_io.load_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.bulk_io.load_file
mysql,mysql.bulk_io.select_into_outfile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.bulk_io.select_into_outfile
mysql,mysql.bulk_io.select_into_dumpfile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/mysql/mysql_dialect.cpp#kPatterns:mysql.bulk_io.select_into_dumpfile
opensearch,builtin_function_surface:security,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/opensearch_sql_ppl/opensearch_sql_ppl_dialect.cpp#kBuiltinSurfaces:security
postgresql,postgresql.bulk_io.copy_program,copy_file_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.bulk_io.copy_program
postgresql,postgresql.bulk_io.copy_to_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.bulk_io.copy_to_file
postgresql,postgresql.bulk_io.copy_from_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.bulk_io.copy_from_file
postgresql,postgresql.large_object.lo_import,import_export_file_io,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.large_object.lo_import
postgresql,postgresql.large_object.lo_export,import_export_file_io,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.large_object.lo_export
postgresql,postgresql.connector.fdw.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.connector.fdw.create
postgresql,postgresql.connector.server.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.connector.server.create
postgresql,postgresql.connector.user_mapping.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.connector.user_mapping.create
postgresql,postgresql.connector.import_foreign_schema,import_export_file_io,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.connector.import_foreign_schema
postgresql,postgresql.connector.foreign_table.create,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kPatterns:postgresql.connector.foreign_table.create
postgresql,diagnostic_surface:connector,external_connector_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/postgresql/postgresql_dialect.cpp#kDiagnosticSurfaces:connector
sqlite,sqlite.lifecycle.attach_database,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/sqlite/sqlite_dialect.cpp#kPatterns:sqlite.lifecycle.attach_database
sqlite,sqlite.lifecycle.detach_database,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/sqlite/sqlite_dialect.cpp#kPatterns:sqlite.lifecycle.detach_database
sqlite,sqlite.bulk_io.vacuum_into,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/sqlite/sqlite_dialect.cpp#kPatterns:sqlite.bulk_io.vacuum_into
sqlite,sqlite.bulk_io.backup,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/sqlite/sqlite_dialect.cpp#kPatterns:sqlite.bulk_io.backup
sqlite,sqlite.bulk_io.restore,backup_restore_or_snapshot,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/sqlite/sqlite_dialect.cpp#kPatterns:sqlite.bulk_io.restore
tidb,tidb.bulk_io.load_data_infile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/tidb/tidb_dialect.cpp#kPatterns:tidb.bulk_io.load_data_infile
tidb,tidb.bulk_io.load_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/tidb/tidb_dialect.cpp#kPatterns:tidb.bulk_io.load_file
tidb,tidb.bulk_io.select_into_outfile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/tidb/tidb_dialect.cpp#kPatterns:tidb.bulk_io.select_into_outfile
vitess,vitess.bulk_io.load_data_infile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/vitess/vitess_dialect.cpp#kPatterns:vitess.bulk_io.load_data_infile
vitess,vitess.bulk_io.load_file,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/vitess/vitess_dialect.cpp#kPatterns:vitess.bulk_io.load_file
vitess,vitess.bulk_io.select_into_outfile,file_io_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/vitess/vitess_dialect.cpp#kPatterns:vitess.bulk_io.select_into_outfile
xtdb,xtdb.modules.configuration,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/xtdb/xtdb_dialect.cpp#kPatterns:xtdb.modules.configuration
xtdb,xtdb.modules.index_store,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/xtdb/xtdb_dialect.cpp#kPatterns:xtdb.modules.index_store
xtdb,xtdb.modules.document_store,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/xtdb/xtdb_dialect.cpp#kPatterns:xtdb.modules.document_store
xtdb,datatype_surface:external,external_provider_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/xtdb/xtdb_dialect.cpp#kDatatypeSurfaces:external
yugabytedb,yugabytedb.bulk_io.copy_program,copy_file_boundary,engine_admission_required_parser_cannot_execute_external_authority,fail_closed_without_provider_or_engine_authorization,project/tests/sblr_surface/,project/src/parsers/compatibility/yugabytedb/yugabytedb_dialect.cpp#kPatterns:yugabytedb.bulk_io.copy_program
