reference_id,display_name,parser_package,local_source_root,performance_suite_paths_relative,performance_suite_paths_absolute,performance_tool_paths_relative,performance_tool_paths_absolute,official_external_performance_url,required_baseline_modes,required_metrics,live_migration_overlay_requirement,source_status,output_destination,status
neo4j,Neo4j,compatibility-parser-neo4j,project/tests/reference_regression/neo4j,project/tests/reference_regression/neo4j,project/tests/reference_regression/neo4j,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/neo4j/performance,performance_manifest_generated_pending_baseline_execution
opensearch_rest,OpenSearch REST DSL,compatibility-parser-opensearch_rest,project/tests/reference_regression/opensearch/rest_dsl,project/tests/reference_regression/opensearch/rest_dsl,project/tests/reference_regression/opensearch/rest_dsl,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/opensearch/rest_dsl/performance,performance_manifest_generated_pending_baseline_execution
opensearch_sql_ppl,OpenSearch SQL/PPL,compatibility-parser-opensearch_sql_ppl,project/tests/reference_regression/opensearch/sql_ppl,project/tests/reference_regression/opensearch/sql_ppl,project/tests/reference_regression/opensearch/sql_ppl,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/opensearch/sql_ppl/performance,performance_manifest_generated_pending_baseline_execution
postgresql,PostgreSQL,compatibility-parser-postgresql,project/tests/reference_regression/postgresql,project/tests/reference_regression/postgresql,project/tests/reference_regression/postgresql,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/postgresql/performance,performance_manifest_generated_pending_baseline_execution
redis,Redis,compatibility-parser-redis,project/tests/reference_regression/redis,project/tests/reference_regression/redis,project/tests/reference_regression/redis,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/redis/performance,performance_manifest_generated_pending_baseline_execution
sqlite,SQLite,compatibility-parser-sqlite,project/tests/reference_regression/sqlite,project/tests/reference_regression/sqlite,project/tests/reference_regression/sqlite,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/sqlite/performance,performance_manifest_generated_pending_baseline_execution
tidb,TiDB,compatibility-parser-tidb,project/tests/reference_regression/tidb,project/tests/reference_regression/tidb,project/tests/reference_regression/tidb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/tidb/performance,performance_manifest_generated_pending_baseline_execution
tikv,TiKV,compatibility-parser-tikv,project/tests/reference_regression/tikv,project/tests/reference_regression/tikv,project/tests/reference_regression/tikv,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/tikv/performance,performance_manifest_generated_pending_baseline_execution
vitess,Vitess,compatibility-parser-vitess,project/tests/reference_regression/vitess,project/tests/reference_regression/vitess,project/tests/reference_regression/vitess,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/vitess/performance,performance_manifest_generated_pending_baseline_execution
xtdb,XTDB,compatibility-parser-xtdb,project/tests/reference_regression/xtdb,project/tests/reference_regression/xtdb,project/tests/reference_regression/xtdb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/xtdb/performance,performance_manifest_generated_pending_baseline_execution
yugabytedb,YugabyteDB,compatibility-parser-yugabytedb,project/tests/reference_regression/yugabytedb,project/tests/reference_regression/yugabytedb,project/tests/reference_regression/yugabytedb,,,,original_reference_engine;scratchbird_emulation;scratchbird_emulation_during_live_migration,throughput_ops_per_sec;p50_ms;p95_ms;p99_ms;max_ms;error_rate;cpu_pct;rss_bytes;read_iops;write_iops;network_bytes;parser_cpu_pct;migration_lag_ms;migration_replay_ops,pre_migration steady state active replay catchup cutover and post_cutover windows with the same workload,verified_present,project/tests/reference_regression/yugabytedb/performance,performance_manifest_generated_pending_baseline_execution
